Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Partikode;Partinavn;Oppslutning prosentvis;Antall stemmeberettigede;Antall valgtingstemmer totalt;Antall stemmer parti
03;Oslo;0301;Oslo;1003;Ammerud skole;PP;Pensjonistpartiet;0,54599;6350;2393;13
03;Oslo;0301;Oslo;1003;Ammerud skole;SAMFS;Samfunnspartiet;0,042;6350;2393;1
03;Oslo;0301;Oslo;1003;Ammerud skole;BLANKE;Blanke;0,50399;6350;2393;12
03;Oslo;0301;Oslo;1003;Ammerud skole;FI;Feministisk Initiativ;0,084;6350;2393;2
03;Oslo;0301;Oslo;1003;Ammerud skole;Andre;Andre;1,80596;6350;2393;43
03;Oslo;0301;Oslo;1003;Ammerud skole;Andre2;Andre2;0,0;6350;2393;0
03;Oslo;0301;Oslo;1004;Tiurleiken skole;A;Arbeiderpartiet;47,58883;4881;1586;750
03;Oslo;0301;Oslo;1004;Tiurleiken skole;SV;Sosialistisk Venstreparti;8,37563;4881;1586;132
03;Oslo;0301;Oslo;1004;Tiurleiken skole;RØDT;Rødt;7,61421;4881;1586;120
03;Oslo;0301;Oslo;1004;Tiurleiken skole;SP;Senterpartiet;2,41117;4881;1586;38
03;Oslo;0301;Oslo;1004;Tiurleiken skole;KRF;Kristelig Folkeparti;1,52284;4881;1586;24
03;Oslo;0301;Oslo;1004;Tiurleiken skole;MDG;Miljøpartiet De Grønne;2,91878;4881;1586;46
03;Oslo;0301;Oslo;1004;Tiurleiken skole;V;Venstre;2,47462;4881;1586;39
03;Oslo;0301;Oslo;1004;Tiurleiken skole;H;Høyre;11,54822;4881;1586;182
03;Oslo;0301;Oslo;1004;Tiurleiken skole;FRP;Fremskrittspartiet;12,43655;4881;1586;196
03;Oslo;0301;Oslo;1004;Tiurleiken skole;ALLI;Alliansen;0,1269;4881;1586;2
